NIS5,TX_DESCR_NL_x,TX_ADM_DSTR_DESCR_NL,PROVINCE,REGION,year,week,CASES,cvacc,CD_REFNIS,POPULATION,GRI,CHI,SI,ESI,c1,c2,c3,c4,c5,c6,c7,c8,e1,e2,e3,e4,h1,h2,h3,h4,h5,h6,h7,h8,month,vacc_pct,date
11008.0,Brasschaat,Arrondissement Antwerpen,Antwerpen,Flanders,2020,44,190.0,0.0,11008,38223,63.68857142857143,58.5,56.74428571428571,100.0,52.38095238095239,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,100.0,100.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-26
11009.0,Brecht,Arrondissement Antwerpen,Antwerpen,Flanders,2020,41,41.0,0.0,11009,29454,53.20285714285715,52.38,47.21999999999999,58.92857142857143,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,67.85714285714286,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-05
11009.0,Brecht,Arrondissement Antwerpen,Antwerpen,Flanders,2020,42,91.0,0.0,11009,29454,50.52,52.38,47.21999999999999,37.5,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,25.0,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-12
11009.0,Brecht,Arrondissement Antwerpen,Antwerpen,Flanders,2020,43,129.0,0.0,11009,29454,58.037142857142854,57.14,54.63,64.28571428571429,33.333333333333336,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,57.142857142857146,71.42857142857143,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-19
11009.0,Brecht,Arrondissement Antwerpen,Antwerpen,Flanders,2020,44,101.0,0.0,11009,29454,63.68857142857143,58.5,56.74428571428571,100.0,52.38095238095239,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,100.0,100.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-26
11013.0,Edegem,Arrondissement Antwerpen,Antwerpen,Flanders,2020,41,49.0,0.0,11013,22261,53.20285714285715,52.38,47.21999999999999,58.92857142857143,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,67.85714285714286,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-05
11013.0,Edegem,Arrondissement Antwerpen,Antwerpen,Flanders,2020,42,77.0,0.0,11013,22261,50.52,52.38,47.21999999999999,37.5,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,25.0,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-12
11013.0,Edegem,Arrondissement Antwerpen,Antwerpen,Flanders,2020,43,83.0,0.0,11013,22261,58.037142857142854,57.14,54.63,64.28571428571429,33.333333333333336,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,57.142857142857146,71.42857142857143,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-19
11013.0,Edegem,Arrondissement Antwerpen,Antwerpen,Flanders,2020,44,100.0,0.0,11013,22261,63.68857142857143,58.5,56.74428571428571,100.0,52.38095238095239,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,100.0,100.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-26
11016.0,Essen,Arrondissement Antwerpen,Antwerpen,Flanders,2020,41,15.0,0.0,11016,19162,53.20285714285715,52.38,47.21999999999999,58.92857142857143,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,67.85714285714286,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-05
